run_date_bj,rank,strategy,futures,underlying,us_signal,us_date,us_close,us_ret_pct,threshold_pct,triggered,action,n_contracts_suggested,margin_per_contract_cny,notes
2026-05-22,1,IH_fade_short,IH,上证50,NDX,2026-05-21,26293.0977,0.087,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-05-22,2,IF_fade_short,IF,沪深300,NDX,2026-05-21,26293.0977,0.087,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-05-22,3,IC_fade_short,IC,中证500,SPX,2026-05-21,7445.7202,0.172,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-05-22,4,IM_fade_short,IM,中证1000,NDX,2026-05-21,26293.0977,0.087,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
2026-05-22,1,IH_fade_short,IH,上证50,NDX,2026-05-21,26293.0977,0.087,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-05-22,2,IF_fade_short,IF,沪深300,NDX,2026-05-21,26293.0977,0.087,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-05-22,3,IC_fade_short,IC,中证500,SPX,2026-05-21,7445.7202,0.172,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-05-22,4,IM_fade_short,IM,中证1000,NDX,2026-05-21,26293.0977,0.087,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
2026-05-25,1,IH_fade_short,IH,上证50,NDX,2026-05-22,26343.9707,0.193,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-05-25,2,IF_fade_short,IF,沪深300,NDX,2026-05-22,26343.9707,0.193,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-05-25,3,IC_fade_short,IC,中证500,SPX,2026-05-22,7473.4702,0.373,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-05-25,4,IM_fade_short,IM,中证1000,NDX,2026-05-22,26343.9707,0.193,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
2026-05-26,1,IH_fade_short,IH,上证50,NDX,2026-05-22,26343.9707,0.193,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-05-26,2,IF_fade_short,IF,沪深300,NDX,2026-05-22,26343.9707,0.193,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-05-26,3,IC_fade_short,IC,中证500,SPX,2026-05-22,7473.4702,0.373,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-05-26,4,IM_fade_short,IM,中证1000,NDX,2026-05-22,26343.9707,0.193,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
2026-05-27,1,IH_fade_short,IH,上证50,NDX,2026-05-26,26656.1797,1.185,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-05-27,2,IF_fade_short,IF,沪深300,NDX,2026-05-26,26656.1797,1.185,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-05-27,3,IC_fade_short,IC,中证500,SPX,2026-05-26,7519.1201,0.611,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-05-27,4,IM_fade_short,IM,中证1000,NDX,2026-05-26,26656.1797,1.185,1.0,True,SHORT_AT_OPEN,1,252000,样本仅5年; 2024年贡献全部收益; 高波动
2026-05-28,1,IH_fade_short,IH,上证50,NDX,2026-05-27,26674.7344,0.07,2.0,False,NO_TRADE,0,121500,最稳; 10年里8年正收益; 大盘金融蓝筹反应最强
2026-05-28,2,IF_fade_short,IF,沪深300,NDX,2026-05-27,26674.7344,0.07,2.0,False,NO_TRADE,0,189000,次稳; 与 IH 同信号但反应弱;
2026-05-28,3,IC_fade_short,IC,中证500,SPX,2026-05-27,7520.3599,0.016,1.5,False,NO_TRADE,0,214200,用 SPX 阈值低; 2021-2023 连亏需警惕
2026-05-28,4,IM_fade_short,IM,中证1000,NDX,2026-05-27,26674.7344,0.07,1.0,False,NO_TRADE,0,252000,样本仅5年; 2024年贡献全部收益; 高波动
